--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                            Time             CPU   Iterations
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                                        89.8 ns         32.6 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                                           1311 ns         4816 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                            20474 ns        20399 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                          19527 ns        19500 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                           1322 ns         1267 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                             19385 ns        19368 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                            11091 ns        21652 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                          11068 ns        21973 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                           62.0 ns          650 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                             11016 ns        20428 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                             8437 ns        30895 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                           8350 ns        30893 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                            202 ns          200 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                              8292 ns        30552 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_mean                                                             1438 ns         1430 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_median                                                           1425 ns         1422 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_stddev                                                           44.4 ns         29.7 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:1_min                                                              1414 ns         1413 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_mean                                                              815 ns         1594 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_median                                                            815 ns         1609 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_stddev                                                           11.5 ns         51.4 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:2_min                                                               801 ns         1495 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_mean                                                              714 ns         2630 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_median                                                            713 ns         2630 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_stddev                                                           10.6 ns         26.5 ns           10
create_and_push<boost::container::static_vector<INNER_DATATYPE, CONTAINERSIZE> , RESERVE_STORAGE, EXACTFULL>/real_time/threads:4_min                                                               702 ns         2601 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                                                         29533 ns        29438 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                                                       29393 ns        29301 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                                                         580 ns          565 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                                                          29052 ns        28966 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                                                         18478 ns        36731 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                                                       18461 ns        36784 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                                                         537 ns         1125 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                                                          17365 ns        34216 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                                                         16397 ns        60499 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                                                       16353 ns        60402 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                                                         216 ns          562 ns           10
create_and_push<std::vector <INNER_DATATYPE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                                                          16123 ns        59827 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                                                                            18476 ns        18423 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                                                                          18408 ns        18357 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                                                                            264 ns          259 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                                                                             18267 ns        18219 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                                                                            10467 ns        20860 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                                                                          10531 ns        21000 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                                                                            297 ns          572 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                                                                             10106 ns        20166 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                                                                             8125 ns        29798 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                                                                           8094 ns        29800 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                                                                            140 ns          322 ns           10
create_and_push_and_reserve<DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                                                                              7885 ns        29188 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                                    11651 ns        11580 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                                  11537 ns        11514 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                                    194 ns          120 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                                     11518 ns        11498 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                                     6567 ns        12968 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                                   6531 ns        13009 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                                   65.1 ns          310 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                                      6513 ns        12170 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_mean                                                                     5030 ns        18560 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_median                                                                   5027 ns        18557 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_stddev                                                                   88.0 ns          163 ns           10
create_and_push<llvm::SmallVector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:4_min                                                                      4893 ns        18307 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_mean                                                       12550 ns        12518 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_median                                                     12498 ns        12474 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_stddev                                                       116 ns          112 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:1_min                                                        12443 ns        12410 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_mean                                                        7305 ns        14404 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_median                                                      7216 ns        14317 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_stddev                                                       191 ns          520 ns           10
create_and_push<boost::container::small_vector <INNER_DATATYPE, CONTAINERSIZE> , DONT_RESERVE_STORAGE, UNDERFULL>/real_time/threads:2_min                                                         7124 ns        13188 ns           10
